Mach_bin,CL_bin,Frequency
0.595,0.44,46.0
0.595,0.44285714285714284,11.0
0.595,0.44571428571428573,11.0
0.595,0.44857142857142857,5.0
0.595,0.4514285714285714,4.0
0.595,0.4542857142857143,3.0
0.595,0.45714285714285713,19.0
0.595,0.46,12.0
0.595,0.46285714285714286,18.0
0.595,0.4657142857142857,7.0
0.595,0.4685714285714286,5.0
0.595,0.4714285714285714,3.0
0.595,0.47428571428571425,5.0
0.595,0.47714285714285715,3.0
0.595,0.48,3.0
0.595,0.4828571428571429,6.0
0.595,0.4857142857142857,4.0
0.595,0.48857142857142855,5.0
0.595,0.49142857142857144,13.0
0.595,0.4942857142857143,9.0
0.595,0.4971428571428571,13.0
0.595,0.5,10.0
0.595,0.5028571428571429,11.0
0.595,0.5057142857142857,11.0
0.595,0.5085714285714286,7.0
0.595,0.5114285714285715,18.0
0.595,0.5142857142857142,18.0
0.595,0.5171428571428571,15.0
0.595,0.52,9.0
0.595,0.5228571428571428,10.0
0.595,0.5257142857142857,7.0
0.595,0.5285714285714286,9.0
0.595,0.5314285714285714,7.0
0.595,0.5342857142857143,8.0
0.595,0.5371428571428571,13.0
0.595,0.5399999999999999,15.0
0.595,0.5428571428571428,10.0
0.595,0.5457142857142857,5.0
0.595,0.5485714285714285,10.0
0.595,0.5514285714285714,5.0
0.595,0.5542857142857143,4.0
0.595,0.5571428571428572,10.0
0.595,0.5599999999999999,7.0
0.595,0.5628571428571428,10.0
0.595,0.5657142857142856,12.0
0.595,0.5685714285714285,11.0
0.595,0.5714285714285714,7.0
0.595,0.5742857142857143,8.0
0.595,0.5771428571428571,15.0
0.6012244897959184,0.44,18.0
0.6012244897959184,0.44285714285714284,0.0
0.6012244897959184,0.44571428571428573,18.0
0.6012244897959184,0.44857142857142857,10.0
0.6012244897959184,0.4514285714285714,5.0
0.6012244897959184,0.4542857142857143,4.0
0.6012244897959184,0.45714285714285713,0.0
0.6012244897959184,0.46,14.0
0.6012244897959184,0.46285714285714286,4.0
0.6012244897959184,0.4657142857142857,3.0
0.6012244897959184,0.4685714285714286,9.0
0.6012244897959184,0.4714285714285714,1.0
0.6012244897959184,0.47428571428571425,7.0
0.6012244897959184,0.47714285714285715,18.0
0.6012244897959184,0.48,3.0
0.6012244897959184,0.4828571428571429,6.0
0.6012244897959184,0.4857142857142857,6.0
0.6012244897959184,0.48857142857142855,3.0
0.6012244897959184,0.49142857142857144,0.0
0.6012244897959184,0.4942857142857143,4.0
0.6012244897959184,0.4971428571428571,1.0
0.6012244897959184,0.5,4.0
0.6012244897959184,0.5028571428571429,4.0
0.6012244897959184,0.5057142857142857,8.0
0.6012244897959184,0.5085714285714286,5.0
0.6012244897959184,0.5114285714285715,14.0
0.6012244897959184,0.5142857142857142,9.0
0.6012244897959184,0.5171428571428571,12.0
0.6012244897959184,0.52,3.0
0.6012244897959184,0.5228571428571428,11.0
0.6012244897959184,0.5257142857142857,8.0
