Mach_bin,CL_bin,Frequency
0.595,0.44,0.0
0.595,0.44285714285714284,1.0
0.595,0.44571428571428573,1.0
0.595,0.44857142857142857,2.0
0.595,0.4514285714285714,2.0
0.595,0.4542857142857143,2.0
0.595,0.45714285714285713,5.0
0.595,0.46,1.0
0.595,0.46285714285714286,5.0
0.595,0.4657142857142857,9.0
0.595,0.4685714285714286,3.0
0.595,0.4714285714285714,4.0
0.595,0.47428571428571425,5.0
0.595,0.47714285714285715,8.0
0.595,0.48,6.0
0.595,0.4828571428571429,6.0
0.595,0.4857142857142857,6.0
0.595,0.48857142857142855,4.0
0.595,0.49142857142857144,5.0
0.595,0.4942857142857143,9.0
0.595,0.4971428571428571,7.0
0.595,0.5,2.0
0.595,0.5028571428571429,9.0
0.595,0.5057142857142857,9.0
0.595,0.5085714285714286,4.0
0.595,0.5114285714285715,9.0
0.595,0.5142857142857142,15.0
0.595,0.5171428571428571,13.0
0.595,0.52,15.0
0.595,0.5228571428571428,15.0
0.595,0.5257142857142857,20.0
0.595,0.5285714285714286,22.0
0.595,0.5314285714285714,21.0
0.595,0.5342857142857143,11.0
0.595,0.5371428571428571,9.0
0.595,0.5399999999999999,3.0
0.595,0.5428571428571428,0.0
0.595,0.5457142857142857,0.0
0.595,0.5485714285714285,0.0
0.595,0.5514285714285714,0.0
0.595,0.5542857142857143,0.0
0.595,0.5571428571428572,0.0
0.595,0.5599999999999999,1.0
0.595,0.5628571428571428,0.0
0.595,0.5657142857142856,1.0
0.595,0.5685714285714285,0.0
0.595,0.5714285714285714,2.0
0.595,0.5742857142857143,0.0
0.595,0.5771428571428571,0.0
0.6012244897959184,0.44,0.0
0.6012244897959184,0.44285714285714284,0.0
0.6012244897959184,0.44571428571428573,0.0
0.6012244897959184,0.44857142857142857,0.0
0.6012244897959184,0.4514285714285714,0.0
0.6012244897959184,0.4542857142857143,0.0
0.6012244897959184,0.45714285714285713,0.0
0.6012244897959184,0.46,0.0
0.6012244897959184,0.46285714285714286,0.0
0.6012244897959184,0.4657142857142857,0.0
0.6012244897959184,0.4685714285714286,0.0
0.6012244897959184,0.4714285714285714,0.0
0.6012244897959184,0.47428571428571425,0.0
0.6012244897959184,0.47714285714285715,0.0
0.6012244897959184,0.48,0.0
0.6012244897959184,0.4828571428571429,0.0
0.6012244897959184,0.4857142857142857,0.0
0.6012244897959184,0.48857142857142855,0.0
0.6012244897959184,0.49142857142857144,0.0
0.6012244897959184,0.4942857142857143,0.0
0.6012244897959184,0.4971428571428571,0.0
0.6012244897959184,0.5,0.0
0.6012244897959184,0.5028571428571429,0.0
0.6012244897959184,0.5057142857142857,0.0
0.6012244897959184,0.5085714285714286,0.0
0.6012244897959184,0.5114285714285715,0.0
0.6012244897959184,0.5142857142857142,0.0
0.6012244897959184,0.5171428571428571,0.0
0.6012244897959184,0.52,0.0
0.6012244897959184,0.5228571428571428,0.0
